program,lat,lng,type_fp,type_sk,phone,address,boro,zip,loc_info,status,program_type,fp_hours,sk_hours
JEWISH COMMUNITY CENTER OF STATEN ISLAND,40.594743411334,-74.126203951485,FPK,,(718) 475-5242,"1466 Manor Rd, Staten Island, New York, 10314",SI,10314,,Open,FP,Mon 09:00 AM-05:00 PM; Tue 09:00 AM-05:00 PM; Wed 09:00 AM-05:00 PM; Thu 09:00 AM-06:30 PM; Fri 09:00 AM-03:00 PM,
MESIVTHA OF STATEN ISLAND,40.527651892289356,-74.21445332198145,FPK,,(718) 356-5412,"1870 Drumgoole Rd E, Staten Island, New York, 10309",SI,10309,,Open,FP,Wed 11:00 AM-12:00 PM,
CITY HARVEST - BED-STUY MOBILE MARKET,40.69775440297,-73.94609277786,FPM,,(646) 412-0740,"736 Park Ave, Brooklyn, NY, 11206, USA",BK,11206,,Open,FP,Wed 09:30 AM-11:30 AM,
METRO MINISTRIES INTERNATIONAL (FP),40.693939715016,-73.924893268349,FPM,,(718) 453-3352,"11 Harman St, Brooklyn, NY, 11221, USA",BK,11221,,Open,FP,Sat 10:30 AM-12:00 PM,
CITY HARVEST - MELROSE MOBILE MARKET,40.821535960222,-73.920266625434,FPM,,(646) 412-0740,"286 E 156th St, Bronx, New York, 10451",BX,10451,,Open,FP,Wed 09:30 AM-11:30 AM; Sat 09:30 AM-11:30 AM,
CITY HARVEST - ST. MARY'S MOBILE MARKET,40.815134994134,-73.909729818771,FPM,,(646) 412-0740,"595 Trinity Ave, Bronx, New York, 10455",BX,10455,,Open,FP,Tue 09:30 AM-11:30 AM; Sat 09:30 AM-11:30 AM,
CITY HARVEST MOBILE MARKET - DYCKMAN HOUSES,40.861138902074,-73.923996153252,FPM,,(646) 412-0740,"177 Nagle Ave, New York, New York, 10034",NY,10034,,Open,FP,Wed 09:30 AM-11:30 AM; Sat 09:30 AM-11:30 AM,
CITY HARVEST MOBILE MARKET - PRINCE HALL,40.830800310164,-73.941866873736,FPM,,(646) 412-0740,"454 W 155th St, New York, New York, 10032",NY,10032,,Open,FP,Thu 09:30 AM-11:30 AM; Sat 09:30 AM-11:30 AM,
CITY HARVEST - ASTORIA MOBILE MARKET,40.77401018108467,-73.9367171243643,FPM,,(646) 412-0725,"1-11 Astoria Blvd, Astoria, NY, 11102, USA",QN,11102,,Open,FP,Thu 09:30 AM-11:30 AM; Sat 09:30 AM-11:30 AM,
CITY HARVEST MOBILE MARKET - QUEENSBRIDGE HOUSES,40.755455759706,-73.944638769117,FPM,,(646) 412-0740,"10-25 41st Ave, Long Island City, New York, 11101",QN,11101,,Open,FP,Wed 09:30 AM-11:30 AM; Sat 09:30 AM-11:30 AM,
CITY HARVEST - STAPLETON MOBILE MARKET,40.622138656034,-74.080622491464,FPM,,(646) 412-0740,"75 Hill St, Staten Island, NY, 10304, USA",SI,10304,,Open,FP,Tue 09:30 AM-11:30 AM; Sat 09:30 AM-11:30 AM,
BETHANY UNITED METHODIST CHURCH (SK),40.670745061091,-73.93826357738,,SK,(718) 774-5689,"1208 St Johns Pl, Brooklyn, New York, 11213",BK,11213,,Open,SK,,Tue 12:30 PM-02:30 PM; Thu 05:00 PM-07:00 PM
COMMUNITY HELP IN PARK SLOPE INC (SK),40.678294012639,-73.982714821576,,SK,(718) 237-2962,"200 4th Ave, Brooklyn, NY, 11217, USA",BK,11217,,Open,SK,,"Mon 09:00 AM-10:30 AM, 11:30 AM-01:00 PM; Tue 09:00 AM-10:30 AM, 11:30 AM-01:00 PM; Wed 09:00 AM-10:30 AM, 11:30 AM-01:00 PM; Thu 09:00 AM-10:30 AM, 11:30 AM-01:00 PM; Fri 09:00 AM-10:30 AM, 11:30 AM-01:00 PM; Sat 09:00 AM-10:30 AM, 11:30 AM-01:00 PM"
HOPE CENTER DEVELOPMENT CORPORATION,40.6571944573229,-73.91844674661684,,SK,(718) 385-1043,"409 E 95th St, Brooklyn, New York, 11212",BK,11212,,Open,SK,,Sat 11:00 AM-01:30 PM
NEIGHBORS TOGETHER (SK),40.678329048994,-73.913937198889,,SK,(718) 498-7256,"2094 Fulton St, Brooklyn, New York, 11233",BK,11233,,Open,SK,,"Mon 12:00 PM-02:00 PM, 04:00 PM-06:00 PM; Tue 12:00 PM-02:00 PM, 04:00 PM-06:00 PM; Wed 12:00 PM-02:00 PM, 04:00 PM-06:00 PM; Thu 12:00 PM-02:00 PM, 04:00 PM-06:00 PM; Fri 12:00 PM-02:00 PM"
OPIN (OTHER PEOPLE IN NEED) (83913),40.669760397016,-73.91848287262,,SK,(718) 421-0148,"1768 St Johns Pl, Brooklyn, New York, 11233",BK,11233,,Open,SK,,Fri 02:00 PM-04:00 PM
UNITED COMMUNITY BAPTIST CHURCH,40.66019128107476,-73.93106251672425,,SK,(718) 467-7708,"545 Utica Ave, Brooklyn, New York, 11203",BK,11203,,Open,SK,,Sat 10:00 AM-12:00 PM
EASTCHESTER PRESBYTERIAN CHURCH (SK),40.871322076242,-73.847255387272,,SK,(718) 798-1855,"3154 Fish Ave, Bronx, New York, 10469",BX,10469,,Open,SK,,Thu 05:00 PM-06:00 PM
LOYAL BAPTIST CHURCH,40.8261247169348,-73.89622724330809,,SK,(718) 328-3512,"881 E 167th St, Bronx, New York, 10459",BX,10459,,Open,SK,,Thu 11:00 AM-03:00 PM
PATHHSEO INC,40.8321441807,-73.891099614041,,SK,(917) 471-9188,"1357 Southern Blvd, Bronx, NY, 10459, USA",BX,10459,,Open,SK,,Sat 12:00 PM-02:00 PM
ST. ANTHONY'S CHURCH (SK),40.837910259533,-73.869447565577,,SK,(718) 931-4040,"1750 Mansion St, Bronx, New York, 10460",BX,10460,,Open,SK,,Sat 07:00 AM-01:00 PM
WOODYCREST UNITED METHODIST CHURCH,40.835310235077,-73.926558836329,,SK,(718) 538-7500,"89 W 166th St, Bronx, New York, 10452",BX,10452,,Open,SK,,Wed 12:00 PM-01:30 PM
EBENEZER SEVENTH DAY ADVENTIST CHURCH,40.667489152713,-73.92123917766,FP,SK,(718) 879-0542,"1234 E New York Ave, Brooklyn, New York, 11212",BK,11212,,Open,"FP,SK",Wed 10:30 AM-12:00 PM,
GRAND CENTRAL NEIGHBORHOOD SOCIAL SERVICE CORP.,40.647907476243,-73.947599257318,FP,SK,(212) 883-0680,"120 E 32nd St, New York, NY, 10016, USA",BK,10016,,Open,"FP,SK",Wed 01:00 PM-03:00 PM,"Mon 07:30 AM-08:15 AM, 12:00 PM-01:15 PM, 03:00 PM-05:00 PM; Tue 07:30 AM-08:15 AM, 12:00 PM-01:15 PM, 03:00 PM-05:00 PM; Wed 07:30 AM-08:15 AM, 12:00 PM-01:15 PM, 03:00 PM-05:00 PM; Thu 07:30 AM-08:15 AM, 12:00 PM-01:15 PM, 03:00 PM-05:00 PM; Fri 07:30 AM-08:15 AM, 12:00 PM-01:15 PM, 03:00 PM-05:00 PM; Sat 07:30 AM-08:15 AM, 12:00 PM-01:15 PM, 03:00 PM-05:00 PM; Sun 07:30 AM-08:15 AM, 12:00 PM-01:15 PM, 03:00 PM-05:00 PM"
SOUTHERN BAPTIST CHURCH,40.799650308117,-73.960045293886,,SK,(212) 663-6549,"12 W 108th St, New York, New York, 10025",NY,10025,,Open,SK,,Wed 12:00 PM-01:30 PM
ST. IGNATIUS EPISCOPAL CHURCH,40.7893183551679,-73.977312852618,,SK,(212) 580-3326,"552 W End Ave, New York, New York, 10024",NY,10024,,Open,SK,,Mon 06:45 PM-07:15 PM; Sat 03:45 PM-04:15 PM
ST. MICHAEL'S CHURCH,40.79645357597454,-73.96942405680633,,SK,(212) 222-2700,"225 W 99th St, New York, New York, 10025",NY,10025,,Open,SK,,Sat 10:00 AM-11:30 AM
TEMPLE SHAARAY TEFILA,40.773348776052,-73.955474055351,,SK,(212) 535-8008,"250 E 79th St, New York, New York, 10075",NY,10075,,Open,SK,,Wed 11:15 AM-12:00 PM
"UNIVERSITY COMMUNITY SOCIAL SERVICES, INC",40.723116156051,-73.986289870919,,SK,(347) 850-2230,"137 E 2nd St, New York, New York, 10009",NY,10009,,Open,SK,,"Sat 09:00 AM-10:00 AM, 01:00 PM-02:30 PM"
CONGREGATION B'NAI JESHURUN,40.7900202138303,-73.9762362809741,,SKK,(212) 787-7600,"257 W 88th St, New York, New York, 10024",NY,10024,,Open,SK,,Thu 12:00 PM-01:00 PM
COALITION FOR THE HOMELESS,40.757344520409,-73.97258170199,,SKM,(212) 776-2002,"108 E 51st St, New York, NY, 10022, USA",NY,10022,,Open,SK,,Mon 05:30 PM-10:00 PM; Tue 05:30 PM-10:00 PM; Wed 05:30 PM-10:00 PM; Thu 05:30 PM-10:00 PM; Fri 05:30 PM-10:00 PM; Sat 05:30 PM-10:00 PM; Sun 05:30 PM-10:00 PM
"FAITH CENTER FOR HUMAN SERVICES, INC",40.689302385174,-73.922833834739,FP,SK,(646) 431-9729,"1014 Gates Ave, Brooklyn, New York, 11221",BK,11221,,Open,"FP,SK",Sat 09:30 AM-12:00 PM,Sat 09:30 AM-12:00 PM
HEBRON SEVENTH DAY ADVENTIST CHURCH,40.671011312246,-73.884983004017,FP,SK,(718) 778-6454,"905 Sutter Ave, Brooklyn, NY, 11207, USA",BK,11207,,Open,"FP,SK",Wed 09:30 AM-10:00 AM,Sun 12:30 PM-02:00 PM
ISAIAH'S TEMPLE OF MT. HOPE,40.675713518018,-73.878185867275,FP,SK,(718) 277-4038,"862 Glenmore Ave, Brooklyn, New York, 11208",BK,11208,,Open,"FP,SK",Thu 02:00 PM-04:00 PM,Tue 02:00 PM-04:00 PM; Thu 02:00 PM-04:00 PM
NEXT STEP COMMUNITY CHURCH,40.68664146619227,-73.98023495170298,FP,SK,(718) 875-1858,"360 Schermerhorn St, Brooklyn, New York, 11217",BK,11217,,Open,"FP,SK",Sat 09:00 AM-10:30 AM,Mon 09:00 AM-10:00 AM; Tue 09:00 AM-10:00 AM; Wed 09:00 AM-10:00 AM
ST. GEORGE'S EPISCOPAL CHURCH FOOD PANTRY,40.686339969135,-73.947586349187,FP,SK,(718) 789-6036,"800 Marcy Ave, Brooklyn, New York, 11216",BK,11216,,Open,"FP,SK",Fri 10:00 AM-02:00 PM,Tue 12:30 PM-02:00 PM; Wed 12:30 PM-02:00 PM; Thu 12:30 PM-02:00 PM
ST. JOHN'S BREAD & LIFE FOOD PANTRY,40.763811720891,-73.966845615752,FP,SK,(718) 574-0058,"795 Lexington Ave, New York, New York, 10065",NY,10065,,Open,"FP,SK",Mon 08:00 AM-01:00 PM; Tue 08:00 AM-01:00 PM; Wed 08:00 AM-01:00 PM; Thu 08:00 AM-01:00 PM,Mon 09:00 AM-12:30 PM; Tue 09:00 AM-12:30 PM; Wed 09:00 AM-12:30 PM; Thu 09:00 AM-12:30 PM
ST. STEPHEN OUTREACH COMMUNITY DEVELOPMENT CORPORATION,40.695508933019,-73.947117381705,FP,SK,(718) 938-4532,"874 Myrtle Ave, Brooklyn, New York, 11206",BK,11206,,Open,"FP,SK",Wed 11:00 AM-01:00 PM; Thu 11:00 AM-01:00 PM; Fri 11:00 AM-01:00 PM,Wed 09:00 AM-10:30 AM; Fri 09:00 AM-10:30 AM
THE SALVATION ARMY BUSHWICK CORPS,40.689263199777,-73.917314770593,FP,SK,(718) 455-4102,"1151 Bushwick Ave, Brooklyn, New York, 11221",BK,11221,,Open,"FP,SK",Mon 10:00 AM-12:30 PM; Tue 10:00 AM-12:30 PM; Thu 10:00 AM-12:30 PM,Mon 12:30 PM-02:00 PM; Tue 12:30 PM-02:00 PM; Thu 12:30 PM-02:00 PM; Fri 12:30 PM-02:00 PM
THE SALVATION ARMY SUNSET PARK CORPS,40.644693603108,-74.0098265064926,FP,SK,(718) 438-1771,"520 50th St, Brooklyn, New York, 11220",BK,11220,,Open,"FP,SK",Wed 10:00 AM-12:00 PM,Mon 12:00 PM-01:00 PM; Tue 12:00 PM-01:00 PM; Wed 12:00 PM-01:00 PM; Thu 12:00 PM-01:00 PM; Fri 12:00 PM-01:00 PM
THURSTON MEMORIAL OUTREACH MINISTRIES,40.68775743278104,-73.91469140253714,FP,,(718) 452-3646,"1243 Bushwick Ave, Brooklyn, New York, 11221",BK,11221,,Open,FP,Fri 02:00 PM-04:30 PM,
"CRESTON AVENUE BAPTIST CHURCH, INC",40.861844071588,-73.899158981582,FP,SK,(718) 367-1754,"114 E 188th St, Bronx, New York, 10468",BX,10468,,Open,"FP,SK",Mon 12:00 PM-02:00 PM; Wed 12:00 PM-02:00 PM; Fri 12:00 PM-02:00 PM,Sat 12:00 PM-02:00 PM
GRACE EPISCOPAL CHURCH  (BX),40.840571639519,-73.883551961688,FP,SK,(718) 542-1946,"1909 Vyse Ave, Bronx, New York, 10460",BX,10460,,Open,"FP,SK",Thu 07:30 AM-10:30 AM,Sat 12:00 PM-01:30 PM
"MANNA OF LIFE MINISTRIES, INC",40.827525039589,-73.904892119535,FP,SK,(347) 577-5788,"1101 Boston Rd, Bronx, New York, 10456",BX,10456,,Open,"FP,SK",Wed 08:00 AM-11:00 AM; Thu 08:00 AM-11:00 AM; Sat 08:00 AM-11:00 AM,Sat 09:00 AM-01:00 PM
PART OF THE SOLUTION,40.865752553039,-73.886562406033,FP,SK,(929) 566-7980,"2759 Webster Ave, Bronx, New York, 10458",BX,10458,,Open,"FP,SK",Mon 08:30 AM-11:00 AM; Tue 08:30 AM-11:00 AM; Wed 08:30 AM-11:00 AM; Thu 08:30 AM-11:00 AM; Fri 08:30 AM-11:00 AM; Sat 08:30 AM-11:00 AM,Mon 12:30 PM-03:00 PM; Tue 12:30 PM-03:00 PM; Wed 12:30 PM-03:00 PM; Thu 12:30 PM-03:00 PM; Fri 12:30 PM-03:00 PM; Sat 12:30 PM-03:00 PM
ST. ANN'S CHURCH OF MORRISANIA,40.808443972286,-73.916662155612,FP,SK,(718) 585-5632,"295 St Anns Ave, Bronx, New York, 10454",BX,10454,,Open,"FP,SK","Wed 10:00 AM-01:00 PM, 05:00 PM-06:00 PM",Sun 11:00 AM-01:00 PM
ST. LUKE'S SENIOR COMMUNITY PROGRAM (SK),40.88508918457,-73.85920454462,,SK,(718) 882-3060,"765 E 222nd St, Bronx, New York, 10467",BX,10467,,Open,SK,,Mon 12:00 PM-01:00 PM; Tue 12:00 PM-01:00 PM; Wed 12:00 PM-01:00 PM; Thu 12:00 PM-01:00 PM; Fri 12:00 PM-01:00 PM
THE SALVATION ARMY BRONX CITADEL,40.822707289282,-73.913415676874,FP,SK,(718) 665-8472,"425 E 159th St, Bronx, New York, 10451",BX,10451,,Open,"FP,SK",Tue 09:00 AM-12:00 PM,Mon 01:00 PM-02:00 PM; Wed 01:00 PM-02:00 PM; Fri 01:00 PM-02:00 PM
ADVENT LUTHERAN CHURCH,40.792761682902,-73.972843286569,FP,SK,(212) 665-2504,"2504 Broadway, New York, New York, 10025",NY,10025,,Open,"FP,SK",Sat 10:00 AM-12:00 PM,Sat 12:00 PM-01:00 PM
ANOTHER CHOICE YOUTH AND FAMILY OUTREACH INC,40.7997968656941,-73.9448087541129,FP,,(212) 369-6643,"1765 Madison Ave, New York, New York, 10029",NY,10029,,Open,FP,Fri 10:00 AM-11:00 AM; Sat 10:00 AM-12:00 PM,
BROADWAY COMMUNITY ,40.806913394857,-73.965059348366,FP,SK,(212) 864-6100,"601 W 114th St, New York, New York, 10025",NY,10025,,Open,"FP,SK",Thu 02:00 PM-05:00 PM,"Mon 10:00 AM-11:30 AM, 12:30 PM-01:30 PM; Tue 10:00 AM-11:30 AM, 12:30 PM-01:30 PM; Wed 10:00 AM-11:30 AM, 12:30 PM-01:30 PM; Fri 10:00 AM-11:30 AM, 12:30 PM-01:30 PM"
CROSSROADS COMMUNITY SERVICES INC,40.757344520409,-73.97258170199,FP,SK,(212) 378-0229,"108 E 51st St, New York, NY, 10022, USA",NY,10022,,Open,"FP,SK",Thu 09:30 AM-12:45 PM,Mon 07:45 AM-08:45 AM; Wed 07:45 AM-08:45 AM; Sat 10:00 AM-11:00 AM; Sun 07:45 AM-08:45 AM
FOOD BANK FOR NEW YORK CITY ,40.80396723971,-73.954981786178,FP,SK,(212) 566-7855,"252 W 116th St, New York, New York, 10026",NY,10026,,Open,"FP,SK",Tue 09:30 AM-03:30 PM; Wed 09:30 AM-03:30 PM; Thu 12:00 PM-06:00 PM; Sat 11:00 AM-02:00 PM,Mon 04:00 PM-06:00 PM; Wed 04:00 PM-06:00 PM; Fri 04:00 PM-06:00 PM
"FRATERNITE NOTRE DAME, INC",40.797059461846,-73.934418714575,FP,SK,(212) 876-5855,"2290 1st Ave, New York, New York, 10035",NY,10035,,Open,"FP,SK",Fri 02:00 PM-05:00 PM,Thu 11:00 AM-01:00 PM
HOLY APOSTLES SOUP KITCHEN PANTRY,40.749362116097,-73.998974372632,FP,SK,(646) 998-6105,"296 9th Ave, New York, New York, 10001",NY,10001,,Open,"FP,SK",Tue 01:30 PM-03:00 PM; Wed 01:30 PM-03:00 PM; Thu 01:30 PM-03:00 PM,Mon 10:30 AM-12:30 PM; Tue 10:30 AM-12:30 PM; Wed 10:30 AM-12:30 PM; Thu 10:30 AM-12:30 PM; Fri 10:30 AM-12:30 PM
IRIS HOUSE,40.817088731945,-73.942739681314,FP,SK,(646) 548-0100,"2348 Adam Clayton Powell Jr Blvd, New York, New York, 10030",NY,10030,,Open,"FP,SK",Thu 10:00 AM-03:00 PM,Tue 12:00 PM-01:30 PM; Wed 12:00 PM-01:30 PM; Thu 12:00 PM-01:30 PM; Fri 12:00 PM-01:30 PM
NATIONAL COUNCIL OF JEWISH WOMEN,40.779399965321,-73.983076165422,FP,SK,(212) 799-7205,"241 W 72nd St, New York, New York, 10023",NY,10023,,Open,"FP,SK",Mon 09:30 AM-01:30 PM,Wed 04:30 PM-05:00 PM; Sun 11:30 AM-12:30 PM
NEW YORK COMMON PANTRY,40.7958691058661,-73.9491240931438,FP,SK,(917) 720-9700,"8 E 109th St, New York, New York, 10029",NY,10029,,Open,"FP,SK",Wed 10:00 AM-02:30 PM; Thu 10:00 AM-02:30 PM; Fri 10:00 AM-02:30 PM; Sat 10:00 AM-02:30 PM,Mon 02:30 PM-03:30 PM; Tue 02:30 PM-03:30 PM; Wed 02:30 PM-03:30 PM; Thu 02:30 PM-03:30 PM; Fri 02:30 PM-03:30 PM
SALEM UNITED METHODIST CHURCH,40.811921330547,-73.946516483066,FP,SK,(212) 678-2700,"2190 Adam Clayton Powell Jr Blvd, New York, New York, 10027",NY,10027,,Open,"FP,SK",Tue 10:00 AM-12:00 PM,Wed 10:30 AM-12:00 PM
ST. PAUL'S HOUSE INC.,40.7636435799132,-73.9870762610748,FP,SK,(212) 265-5433,"335 W 51st St, New York, New York, 10019",NY,10019,,Open,"FP,SK",Tue 09:30 AM-10:30 AM,Mon 08:00 AM-08:30 AM; Wed 08:00 AM-08:30 AM; Fri 08:00 AM-08:30 AM
THE RED DOOR PLACE,40.738145034172646,-74.00056953262565,FP,SK,(212) 243-5470,"201 W 13rd St, New York, New York, 10011",NY,10011,,Open,"FP,SK",Tue 02:00 PM-04:50 PM,Sat 12:00 PM-02:00 PM
THE URBAN OUTREACH CENTER OF NYC,40.779771115994,-73.9474898734817,FP,SK,(212) 288-6743,"1745 1st Ave, New York, New York, 10128",NY,10128,,Open,"FP,SK",Wed 09:00 AM-01:00 PM; Fri 09:00 AM-01:00 PM,Tue 05:30 PM-06:30 PM
"TRINITY'S SERVICES AND FOOD FOR THE HOMELESS, INC.",40.72604923542872,-73.98004065918738,FP,SK,(212) 228-5254,"602 E 9th St, New York, New York, 10009",NY,10009,,Open,"FP,SK",Mon 12:30 PM-01:30 PM; Tue 12:30 PM-01:30 PM; Wed 12:30 PM-01:30 PM; Thu 12:30 PM-01:30 PM,Mon 11:00 AM-12:00 PM; Tue 11:00 AM-12:00 PM; Wed 11:00 AM-12:00 PM; Thu 11:00 AM-12:00 PM; Fri 11:00 AM-12:00 PM
XAVIER MISSION INC (SK),40.737812021159,-73.995505941098,,SK,(212) 627-2100,"55 W 15th St, New York, New York, 10011",NY,10011,,Open,SK,,Sun 12:45 PM-03:00 PM
CORONA SEVENTH DAY ADVENTIST CHURCH,40.753847440124,-73.864838189382,FP,SK,(718) 429-7050,"35-30 103rd St, Corona, New York, 11368",QN,11368,,Open,"FP,SK",Mon 09:00 AM-11:30 AM,Sun 12:00 PM-02:00 PM
FIRST PRESBYTERIAN CHURCH OF JAMAICA,40.705900648938,-73.796373044046,FP,SK,(718) 526-4775,"89-60 164th St, Jamaica, New York, 11432",QN,11432,,Open,"FP,SK",Tue 10:00 AM-12:00 PM; Sat 09:00 AM-11:00 AM,Wed 05:30 PM-06:30 PM
MACEDONIA AME CHURCH,40.69932647082,-73.793446083457,FP,SK,(718) 353-5870,"106-16 Guy R Brewer Blvd, Jamaica, New York, 11433",QN,11433,,Open,"FP,SK",Mon 12:00 PM-02:00 PM; Tue 12:00 PM-02:00 PM,Tue 09:00 AM-11:00 AM
RUSH TEMPLE A.M.E. CHURCH,40.6779620892731,-73.7914318283049,FP,SK,(718) 529-5719,"119-48 Sutphin Blvd, Jamaica, New York, 11436",QN,11436,,Open,"FP,SK",Tue 09:00 AM-10:00 AM,Wed 12:00 PM-01:30 PM
THE SALVATION ARMY JAMAICA CITADEL CORPS,40.827102382121,-73.924509963917,FP,SK,(718) 297-4860,"90 E 161st St, Bronx, NY, 10451, USA",BX,10451,,Open,"FP,SK",Tue 10:00 AM-12:00 PM; Thu 10:00 AM-12:00 PM,Mon 12:00 PM-01:00 PM; Tue 12:00 PM-01:00 PM; Wed 12:00 PM-01:00 PM
THE SALVATION ARMY QUEENS TEMPLE CORP,40.752344522976,-73.880645872038,FP,SK,(718) 335-3693,"86-07 35th Ave, Jackson Heights, New York, 11372",QN,11372,,Open,"FP,SK",Thu 10:00 AM-11:00 AM,Mon 11:30 AM-01:00 PM; Tue 11:30 AM-01:00 PM; Wed 11:30 AM-01:00 PM; Thu 11:30 AM-01:00 PM; Fri 11:30 AM-01:00 PM
STAPLETON U.A.M.E. CHURCH,40.623362581536,-74.078756176903,FP,SK,(718) 273-2857,"49 Tompkins Ave, Staten Island, New York, 10304",SI,10304,,Open,"FP,SK",Tue 10:00 AM-01:00 PM; Fri 10:00 AM-01:00 PM,Wed 12:00 PM-01:00 PM
THE SALVATION ARMY STAPLETON CORPS,40.625600766522,-74.075630229726,FP,SK,(718) 448-8480,"15 Broad St, Staten Island, NY, 10304, USA",SI,10304,,Open,"FP,SK",Tue 12:00 PM-01:30 PM; Wed 12:00 PM-01:30 PM; Thu 12:00 PM-01:30 PM,Mon 11:30 AM-01:00 PM; Fri 11:30 AM-01:00 PM
"PROJECT HOSPITALITY, INC. (SK)",40.62509574956499,-74.07981045268467,,SK,(718) 815-0800,"211 Canal St, Staten Island, NY, 10304, USA",SI,10304,,Open,SK,,
OUR LADY OF GRACE PARISH MINISTRY (FP),40.593452011511,-73.967335035078,FP,SKM,(718) 645-2120,"2322 E 4th St, Brooklyn, New York, 11223",BK,11223,,Open,"FP,SK",Mon 09:00 AM-01:00 PM; Wed 09:00 AM-01:00 PM,Wed 12:00 PM-12:30 PM
"UNITED BRONX PARENTS, INC. (FP & SK)",40.81396835894,-73.904070860662,FP,SKM,(718) 991-7100,"603 Prospect Ave, Bronx, New York, 10455",BX,10455,,Open,"FP,SK",Wed 10:00 AM-12:00 PM; Thu 10:00 AM-12:00 PM; Fri 10:00 AM-12:00 PM,Mon 02:30 PM-04:00 PM; Tue 02:30 PM-04:00 PM; Wed 02:30 PM-04:00 PM; Thu 02:30 PM-04:00 PM; Fri 02:30 PM-04:00 PM
THE COMMUNITY FOOD PANTRY,40.84172599522478,-73.92485730998445,FPH,,(718) 960-2262,"1363 Ogden Ave, Bronx, New York, 10452",BX,10452,,Open,FP,Tue 10:00 AM-01:00 PM; Thu 12:00 PM-03:00 PM; Sat 10:00 AM-12:00 PM,
BOOM! HEALTH (FPHA),40.822232077281,-73.910559711005,FPHA,,(718) 295-5960,"3144 3rd Ave, Bronx, New York, 10451",BX,10451,,Open,FP,Mon 11:00 AM-12:30 PM; Wed 11:00 AM-12:30 PM; Thu 11:00 AM-12:30 PM,
GAY MEN'S HEALTH CRISIS (FPHA),40.755081507729,-73.992226940576,FPHA,,(212) 367-1200,"307 W 38th St, New York, New York, 10018",NY,10018,,Open,FP,Tue 11:00 AM-02:00 PM; Wed 11:00 AM-02:00 PM; Thu 11:00 AM-02:00 PM,
BENSONHURST COUNCIL OF JEWISH ORGANIZATIONS,40.6026043792267,-73.9965048124997,FPK,,(718) 333-1834,"8635 21st Ave, Brooklyn, New York, 11214",BK,11214,,Open,FP,Tue 10:00 AM-04:00 PM,
BNAI RAPHAEL CHESED ORGANIZATION INC,40.619638711503,-73.937580787548,FPK,,(718) 951-2302,"3846 Flatlands Ave, Brooklyn, New York, 11234",BK,11234,,Open,FP,Mon 10:00 AM-03:30 PM; Tue 10:00 AM-03:30 PM; Wed 10:00 AM-03:30 PM; Thu 10:00 AM-05:00 PM,
CROWN HEIGHTS JEWISH COMMUNITY COUNCIL,40.664641191561,-73.934788188867,FPK,,(718) 771-9000,"899 Montgomery St, Brooklyn, NY, 11213, USA",BK,11213,,Open,FP,Wed 01:30 AM-03:00 PM,
HEBREW EDUCATIONAL SOCIETY,40.63239814743,-73.890778838606,FPK,,(718) 241-3000,"9502 Seaview Ave, Brooklyn, New York, 11236",BK,11236,,Open,FP,Mon 09:00 AM-02:00 PM; Tue 01:00 PM-06:00 PM; Wed 09:00 AM-02:00 PM; Thu 09:00 AM-02:00 PM,
JEWISH COMMUNITY COUNCIL OF CANARSIE   #1,40.651492751507,-73.885715749993,FPK,,(718) 922-2474,"1170 Pennsylvania Ave, Brooklyn, New York, 11239",BK,11239,,Open,FP,Wed 09:00 AM-11:00 AM,
INTERNATIONAL PENTECOSTAL CHURCH (FP),40.84841379004,-73.935390763886,FP,,(212) 568-3531,"619 W 179th St, New York, New York, 10033",NY,10033,,Open,FP,Tue 11:30 AM-03:30 PM; Fri 12:00 PM-03:00 PM,
ISAACS HOLMES FOOD PANTRY,40.781214102535,-73.945276799586,FP,,(212) 360-7620,"415 E 93rd St, New York, New York, 10128",NY,10128,,Open,FP,Wed 09:00 AM-11:00 AM,
LITTLE SISTERS OF THE ASSUMPTION FAMILY HEALTH SERVICE,40.795773091165245,-73.93666732773961,FP,,(646) 672-5200,"333 E 115th St, New York, New York, 10029",NY,10029,,Open,FP,"Wed 09:00 AM-11:30 AM, 01:00 PM-02:30 PM",
MACEDONIA CH. ASSEMBLY OF GOD-BREAD OF LIFE FOOD PANTRY,40.7898107500699,-73.9408762166001,FP,,(212) 410-3412,"340 E 106th St, New York, New York, 10029",NY,10029,,Open,FP,Fri 09:00 AM-10:30 AM,
MCCNY CHARITIES (FP),40.755448593178,-73.997442244551,FP,,(322) 400-7488,"446 W 36th St, New York, New York, 10018",NY,10018,,Open,FP,Thu 09:00 AM-11:00 AM,
MT. OLIVET BAPTIST CHURCH COMMUNITY MEAL PROGRAM,40.804826510514,-73.947964875935,FP,,(212) 864-1155,"201 Lenox Ave, New York, New York, 10027",NY,10027,,Open,FP,Tue 10:30 AM-11:30 AM; Wed 10:30 AM-11:30 AM,
NAZARETH HOUSING INC,40.723772961983,-73.983942518935,FP,,(212) 777-1010,"206 E 4th St, New York, NY, 10009, USA",NY,10009,,Open,FP,Tue 08:30 AM-10:00 AM,
OUR LADY OF SORROWS,40.719505693167,-73.982361775815,FP,,(646) 886-9854,"213 Stanton St, New York, New York, 10002",NY,10002,,Open,FP,Tue 08:00 AM-11:00 AM; Thu 08:00 AM-11:00 AM,
